distrito,area_m2,habitaciones,banos,antiguedad_anos,estacionamiento,precio_alquiler,precio_categoria
Jesus Maria,61.0,2,1,20.0,1,2970.0,moderado
Lince,167.6,2,2,33.0,1,3860.0,premium
Carabayllo,177.3,4,3,17.0,1,3790.0,premium
San Juan de Lurigancho,132.5,3,3,35.0,1,2630.0,moderado
Chorrillos,114.7,3,2,29.0,1,3040.0,premium
Chorrillos,122.0,3,3,14.0,0,3760.0,premium
Ate,152.0,5,2,21.0,0,3430.0,premium
Surco,40.7,2,2,24.0,1,3820.0,premium
Barranco,,3,2,1.0,1,4690.0,premium
San Miguel,163.5,1,1,16.0,1,4140.0,premium
Magdalena,118.0,5,3,16.0,1,4560.0,premium
Ate,,1,1,24.0,0,3340.0,premium
Lince,185.7,2,2,6.0,0,4400.0,premium
MAGDALENA,182.3,1,1,13.0,0,4190.0,premium
Ate,206.5,2,1,7.0,0,3850.0,premium
la molina,92.4,3,3,16.0,1,4810.0,premium
San Miguel,47.2,1,1,22.0,0,2110.0,moderado
San Isidro,185.1,2,2,18.0,1,6550.0,premium
Magdalena,124.7,5,1,20.0,0,3720.0,premium
MAGDALENA,73.6,5,1,32.0,0,2990.0,moderado
San Juan de Lurigancho,105.9,3,3,0.0,0,3110.0,premium
Jesus Maria,58.0,1,1,32.0,1,2600.0,moderado
Barranco,,3,2,10.0,1,4260.0,premium
San Borja,208.2,2,1,31.0,1,5520.0,premium
Surco,204.4,4,1,7.0,0,6400.0,premium
Ate,47.1,1,1,31.0,1,1390.0,economico
Barranco,124.2,1,1,11.0,1,4320.0,premium
Miraflores,130.7,4,3,8.0,1,6480.0,premium
Surco,170.7,2,1,39.0,1,4660.0,premium
Carabayllo,186.4,1,1,,1,3450.0,premium
Chorrillos,106.3,4,3,15.0,1,3650.0,premium
San Isidro,164.8,5,3,8.0,1,7480.0,premium
San Isidro,128.5,1,1,8.0,0,5350.0,premium
San Isidro,178.0,3,2,16.0,0,6450.0,premium
Carabayllo,59.9,5,3,33.0,1,2300.0,moderado
Miraflores,78.5,5,3,39.0,0,4880.0,premium
Chorrillos,195.8,2,2,11.0,0,4310.0,premium
San Borja,124.8,3,1,25.0,1,4640.0,premium
Ate,214.7,3,3,,0,4960.0,premium
Surco,143.9,5,2,23.0,0,39055.0,premium
Chorrillos,197.3,2,2,16.0,1,4250.0,premium
San Juan de Lurigancho,139.3,5,1,19.0,1,3400.0,premium
Carabayllo,87.9,3,3,10.0,0,2440.0,moderado
San Miguel,,4,3,11.0,0,3780.0,premium
San Juan de Lurigancho,182.4,5,3,24.0,1,4100.0,premium
Ate,124.9,5,3,18.0,1,3810.0,premium
Lince,159.1,4,2,17.0,0,4020.0,premium
San Borja,97.1,2,2,35.0,0,3840.0,premium
San Juan de Lurigancho,158.7,3,1,24.0,0,2860.0,moderado
Carabayllo,162.7,2,2,29.0,1,3020.0,premium
Miraflores,45.0,3,1,39.0,1,3860.0,premium
San Borja,68.5,1,1,6.0,0,4000.0,premium
San Isidro,132.2,3,1,29.0,1,5840.0,premium
La Molina,125.3,4,3,15.0,1,5400.0,premium
San Miguel,181.6,5,1,24.0,0,4350.0,premium
Lince,198.6,5,3,0.0,1,5410.0,premium
San Isidro,123.5,2,2,31.0,1,5590.0,premium
San Miguel,195.2,5,3,27.0,1,4800.0,premium
Lince,198.0,2,2,,1,5120.0,premium
Carabayllo,,3,1,24.0,0,3580.0,premium
Pueblo Libre,136.7,4,2,33.0,1,3620.0,premium
San Miguel,63.0,2,2,10.0,1,3470.0,premium
Barranco,155.3,5,3,18.0,1,5430.0,premium
Lince,,4,1,17.0,1,4680.0,premium
SAN MIGUEL,55.7,2,1,14.0,1,2840.0,moderado
Miraflores,98.4,3,1,9.0,0,5440.0,premium
San Miguel,,5,3,13.0,1,5380.0,premium
Lince,80.3,2,1,10.0,0,2780.0,moderado
Barranco,100.2,5,3,18.0,1,5000.0,premium
La Molina,199.8,1,1,23.0,0,5060.0,premium
Jesus Maria,123.7,4,1,,1,3990.0,premium
San Isidro,164.5,2,1,23.0,0,5920.0,premium
La Molina,,5,2,5.0,1,6890.0,premium
La Molina,141.3,4,2,9.0,0,5450.0,premium
Chorrillos,65.3,2,1,34.0,0,1710.0,moderado
Lince,110.9,4,2,23.0,1,3320.0,premium
Carabayllo,110.3,2,1,17.0,1,2590.0,moderado
Magdalena,44.0,1,1,15.0,1,2840.0,moderado
la molina,56.1,3,3,39.0,1,3300.0,premium
Ate,63.5,2,1,16.0,0,1910.0,moderado
San Juan de Lurigancho,109.1,2,1,26.0,1,2070.0,moderado
Magdalena,187.5,1,1,33.0,1,3900.0,premium
Pueblo Libre,219.1,5,1,4.0,1,5570.0,premium
pueblo libre,48.0,3,1,17.0,1,3120.0,premium
Pueblo Libre,65.8,1,1,10.0,1,2780.0,moderado
San Isidro,111.4,5,3,33.0,0,5510.0,premium
Chorrillos,181.4,2,1,24.0,0,3150.0,premium
San Isidro,66.7,2,1,17.0,1,5150.0,premium
San Isidro,150.7,2,2,,1,5890.0,premium
Surco,62.1,5,1,26.0,0,4350.0,premium
Magdalena,84.4,5,1,15.0,1,4160.0,premium
Miraflores,59.0,2,1,4.0,1,5040.0,premium
Carabayllo,211.4,2,1,25.0,1,3440.0,premium
Pueblo Libre,183.8,3,1,,0,3870.0,premium
Pueblo Libre,116.5,2,2,14.0,1,3900.0,premium
San Juan de Lurigancho,97.4,1,1,16.0,1,2300.0,moderado
ATE,108.2,5,2,29.0,1,36424.0,premium
Jesus Maria,166.3,4,2,19.0,1,4700.0,premium
Ate,157.1,4,3,16.0,1,3700.0,premium
San Isidro,115.5,5,3,19.0,1,6740.0,premium
la molina,165.3,1,1,7.0,0,5000.0,premium
Ate,189.1,3,2,21.0,1,3880.0,premium
San Juan de Lurigancho,201.5,2,2,1.0,1,4370.0,premium
Carabayllo,137.8,2,2,20.0,1,2590.0,moderado
Miraflores,,1,1,19.0,0,5420.0,premium
San Isidro,105.1,4,1,19.0,0,5560.0,premium
San Isidro,142.4,2,1,5.0,1,6590.0,premium
La Molina,67.0,3,1,37.0,0,3180.0,premium
San Juan de Lurigancho,90.7,5,1,9.0,0,2850.0,moderado
Pueblo Libre,207.0,4,2,11.0,1,5320.0,premium
Barranco,206.0,3,1,21.0,1,5640.0,premium
San Miguel,157.7,4,2,11.0,1,5050.0,premium
Miraflores,177.1,3,3,16.0,1,6750.0,premium
Carabayllo,102.7,5,2,4.0,1,3500.0,premium
Jesus Maria,218.5,1,1,34.0,1,4410.0,premium
Jesus Maria,98.2,1,1,35.0,1,2820.0,moderado
San Borja,90.3,4,2,36.0,0,4030.0,premium
San Juan de Lurigancho,125.8,2,2,32.0,1,2580.0,moderado
Ate,137.9,4,2,37.0,1,2880.0,moderado
La Molina,204.7,1,1,22.0,0,5100.0,premium
Barranco,82.6,2,2,25.0,1,3890.0,premium
Carabayllo,96.6,4,3,4.0,1,3550.0,premium
Barranco,144.5,1,1,37.0,1,3830.0,premium
La Molina,48.6,3,3,3.0,0,4710.0,premium
Barranco,90.2,2,2,20.0,1,4110.0,premium
Barranco,96.3,4,1,,1,4020.0,premium
Lince,64.1,5,2,25.0,0,2950.0,moderado
Carabayllo,150.3,5,3,9.0,1,3920.0,premium
La Molina,205.2,1,1,19.0,1,5610.0,premium
Magdalena,45.3,1,1,18.0,1,2690.0,moderado
Pueblo Libre,43.0,4,1,13.0,0,2620.0,moderado
Lince,,3,3,25.0,0,2770.0,moderado
San Borja,182.2,3,3,12.0,1,6100.0,premium
Lince,219.4,2,2,37.0,0,3930.0,premium
Pueblo Libre,117.1,3,3,,0,4140.0,premium
Carabayllo,213.7,3,3,3.0,0,4120.0,premium
San Isidro,177.3,3,3,4.0,0,7410.0,premium
Magdalena,136.8,2,1,13.0,0,3820.0,premium
Barranco,165.9,4,1,,0,4860.0,premium
Lince,203.0,4,2,28.0,0,4360.0,premium
Chorrillos,104.7,3,3,5.0,1,3660.0,premium
Barranco,189.4,4,2,1.0,1,6390.0,premium
San Borja,177.5,3,1,29.0,0,5070.0,premium
Jesus Maria,214.1,4,3,11.0,1,5530.0,premium
Jesus Maria,79.9,3,3,21.0,1,3470.0,premium
Barranco,170.4,1,1,35.0,1,4160.0,premium
Barranco,107.7,1,1,,0,3210.0,premium
barranco,42.9,1,1,25.0,0,2990.0,moderado
Ate,48.3,5,2,33.0,1,2380.0,moderado
Carabayllo,47.4,2,2,37.0,1,1140.0,economico
San Borja,212.7,4,3,33.0,0,5780.0,premium
