horas_estudio_semana,asistencia_pct,nota_parcial,trabaja,horas_trabajo_semana,nivel_socioeconomico,nota_final,riesgo_academico
2.3,75.2,14.1,1,0.0,Bajo,10.4,reprobado
7.0,73.9,15.6,0,0.0,Medio,12.3,en_riesgo
25.3,79.6,14.7,0,0.0,Bajo,19.6,aprobado
9.2,59.3,12.2,0,0.0,Medio,11.9,en_riesgo
13.0,92.8,,0,0.0,Alto,14.3,aprobado
7.0,46.6,7.8,0,0.0,Bajo,7.5,reprobado
21.7,52.8,,1,46.0,Medio,11.2,en_riesgo
17.9,42.1,13.9,0,0.0,Bajo,15.9,aprobado
3.6,78.6,8.1,1,47.0,Bajo,5.8,reprobado
9.5,88.8,10.1,0,0.0,Medio,11.7,en_riesgo
6.9,87.5,15.9,0,0.0,Medio,12.9,en_riesgo
20.6,80.2,10.1,1,26.0,Bajo,15.0,aprobado
27.6,41.1,11.5,1,41.0,Alto,16.4,aprobado
1.3,95.6,13.7,1,41.0,Medio,11.1,en_riesgo
11.1,61.3,12.1,1,17.0,Bajo,11.8,en_riesgo
1.4,93.8,8.6,1,34.0,Bajo,7.8,reprobado
,59.0,7.6,1,35.0,Alto,5.4,reprobado
9.6,83.8,14.7,0,0.0,Bajo,13.3,en_riesgo
10.2,48.9,17.0,0,0.0,Medio,11.9,en_riesgo
16.3,70.8,7.0,1,41.0,Alto,11.5,en_riesgo
4.9,57.0,16.2,0,0.0,Bajo,13.2,en_riesgo
22.7,76.8,12.4,1,37.0,Bajo,14.4,aprobado
24.1,40.7,15.7,0,0.0,Medio,17.4,aprobado
5.0,73.9,14.7,0,0.0,Medio,14.0,aprobado
,79.0,11.0,0,0.0,Medio,10.1,reprobado
11.9,59.1,6.4,1,21.0,Medio,8.1,reprobado
2.2,50.9,8.5,0,0.0,Medio,8.0,reprobado
13.7,71.6,16.3,0,0.0,Bajo,15.7,aprobado
15.8,55.9,10.9,0,0.0,Alto,16.4,aprobado
17.5,86.1,15.6,0,0.0,Medio,16.6,aprobado
8.6,69.9,10.6,0,0.0,Medio,11.1,en_riesgo
14.0,55.0,9.2,0,0.0,ALTO,11.8,en_riesgo
19.2,83.9,8.5,1,30.0,Bajo,11.5,en_riesgo
22.4,84.1,12.0,0,0.0,Bajo,16.6,aprobado
9.3,67.6,14.8,0,0.0,Medio,14.1,aprobado
5.4,96.8,8.0,0,0.0,Medio,9.4,reprobado
18.1,40.2,9.0,0,0.0,Bajo,11.3,en_riesgo
9.7,83.6,8.7,0,0.0,Bajo,11.3,en_riesgo
22.3,40.3,14.9,1,26.0,Bajo,15.4,aprobado
10.4,52.2,15.9,1,46.0,Bajo,12.0,en_riesgo
19.2,83.4,10.4,1,38.0,Alto,13.4,en_riesgo
25.5,41.3,9.6,0,0.0,Bajo,13.7,en_riesgo
23.4,58.0,7.9,0,0.0,Bajo,12.5,en_riesgo
13.0,60.0,5.5,0,0.0,Medio,9.2,reprobado
5.6,62.0,16.3,1,37.0,Bajo,11.0,en_riesgo
2.5,60.6,11.9,1,13.0,Bajo,10.1,reprobado
13.0,43.6,10.7,1,47.0,Medio,11.0,en_riesgo
2.2,93.8,,0,0.0,Alto,10.9,reprobado
16.8,49.2,8.2,1,44.0,Bajo,10.3,reprobado
20.8,50.6,9.7,1,11.0,Alto,12.2,en_riesgo
16.8,89.7,17.6,1,44.0,MEDIO,15.7,aprobado
8.9,89.0,8.9,1,21.0,Bajo,10.2,reprobado
13.6,92.7,,0,0.0,Medio,19.1,aprobado
6.6,60.4,14.1,1,32.0,Medio,11.9,en_riesgo
19.4,60.1,11.3,0,0.0,Medio,14.9,aprobado
22.1,78.3,,1,20.0,Alto,15.8,aprobado
19.9,46.1,12.8,1,12.0,Alto,17.3,aprobado
26.5,87.7,19.6,0,0.0,Bajo,20.0,aprobado
17.8,40.1,10.2,0,0.0,Alto,13.5,en_riesgo
13.5,55.5,9.1,0,0.0,Medio,11.8,en_riesgo
21.1,71.7,17.8,1,31.0,Alto,18.1,aprobado
8.5,79.8,12.6,0,0.0,Bajo,13.4,en_riesgo
28.6,50.2,14.4,1,0.0,Medio,16.3,aprobado
29.7,64.1,17.2,0,0.0,Bajo,20.0,aprobado
10.9,49.0,12.6,0,0.0,Alto,12.4,en_riesgo
22.4,55.0,10.4,1,25.0,Bajo,12.5,en_riesgo
28.0,92.3,18.1,1,38.0,Alto,18.5,aprobado
13.4,49.2,,0,0.0,Bajo,9.9,reprobado
5.9,83.4,7.1,0,0.0,Medio,11.7,en_riesgo
13.6,83.4,13.0,0,0.0,Medio,16.0,aprobado
23.0,44.9,16.8,0,0.0,Alto,19.7,aprobado
21.3,84.2,19.0,1,37.0,Bajo,18.0,aprobado
1.5,84.1,6.2,0,0.0,Medio,6.9,reprobado
29.2,58.9,19.6,0,0.0,Medio,19.6,aprobado
,59.9,17.0,1,20.0,Bajo,19.3,aprobado
2.5,73.1,16.9,1,34.0,alto,12.1,en_riesgo
18.3,95.3,12.6,0,0.0,Alto,16.9,aprobado
26.4,55.6,9.6,0,0.0,Bajo,16.5,aprobado
13.4,59.7,,0,0.0,Alto,14.0,aprobado
30.0,86.5,15.5,1,21.0,Medio,19.2,aprobado
11.0,65.6,9.1,0,0.0,Medio,9.6,reprobado
5.3,68.2,5.8,0,0.0,Alto,9.5,reprobado
