num_personas_hogar,area_vivienda_m2,num_electrodomesticos,horas_uso_ac,estrato_social,mes,consumo_kwh,nivel_consumo
5,64.1,14,4.4,B,Agosto,365.8,alto
1,,6,3.8,B,Mayo,218.0,normal
5,220.8,8,10.1,C,Mayo,448.1,alto
7,143.2,9,0.7,C,Marzo,291.2,normal
1,67.1,9,10.6,C,Agosto,265.2,normal
1,230.5,8,11.4,B,Octubre,372.5,alto
5,155.1,11,,D,Septiembre,392.2,alto
3,248.9,2,4.7,d,Febrero,264.9,normal
5,148.8,7,10.8,D,Noviembre,399.4,alto
1,270.7,12,7.2,D,Noviembre,353.1,alto
2,218.2,3,1.1,B,Noviembre,202.8,normal
6,113.3,6,6.6,D,Mayo,283.9,normal
7,60.4,5,9.3,C,Diciembre,360.1,alto
6,68.9,9,11.4,D,Mayo,382.1,alto
2,46.6,6,10.3,D,Enero,294.8,normal
5,168.0,3,6.9,D,Noviembre,305.6,alto
1,278.8,10,,C,Mayo,315.6,alto
6,236.5,4,11.1,A,Septiembre,437.5,alto
6,52.7,10,5.4,B,Enero,321.9,alto
4,195.8,10,10.4,D,Mayo,415.3,alto
1,280.5,4,9.6,C,Noviembre,331.8,alto
7,217.8,3,10.6,C,Enero,437.5,alto
3,,3,7.2,C,Diciembre,287.4,normal
7,228.6,12,6.1,A,Julio,444.1,alto
1,161.6,4,0.5,C,Julio,194.4,normal
3,260.5,4,3.5,B,Julio,238.4,normal
6,100.7,8,7.6,A,Junio,373.4,alto
3,259.9,12,3.5,A,Noviembre,372.9,alto
7,240.1,4,10.8,B,Mayo,438.2,alto
3,103.6,10,7.3,C,Agosto,339.6,alto
5,49.3,9,4.8,B,Octubre,292.6,normal
3,67.0,2,10.0,D,Julio,279.0,normal
6,214.0,8,,C,Marzo,438.7,alto
1,127.6,10,11.3,D,Abril,368.1,alto
7,241.7,8,10.1,C,Abril,464.2,alto
6,241.0,4,6.3,D,Agosto,335.5,alto
2,,5,11.6,D,Julio,328.4,alto
5,224.2,12,10.5,C,Julio,457.3,alto
5,204.2,2,11.6,B,Septiembre,384.1,alto
1,74.9,6,4.7,D,Junio,217.4,normal
4,175.3,13,,C,Abril,407.3,alto
6,92.0,6,11.1,C,Enero,387.0,alto
3,262.9,7,6.9,D,Septiembre,377.8,alto
5,137.7,13,11.4,D,Julio,430.6,alto
3,221.2,4,0.2,C,Febrero,210.6,normal
1,240.5,5,5.4,C,Enero,4535.0790703786615,normal
6,252.8,10,11.5,D,Abril,501.6,alto
6,90.0,13,2.9,C,Julio,339.7,alto
5,82.7,5,4.9,D,Marzo,248.4,normal
6,,4,0.2,C,Diciembre,264.7,normal
3,188.9,11,1.8,A,Agosto,281.2,normal
1,,10,1.6,B,Diciembre,179.5,normal
1,79.1,12,4.4,D,Mayo,247.6,normal
7,,5,7.1,D,Marzo,349.5,alto
5,181.3,8,4.1,C,Septiembre,356.5,alto
3,119.9,5,9.0,D,Diciembre,290.2,normal
7,142.0,3,8.8,B,Julio,415.0,alto
5,207.2,6,3.6,C,Diciembre,303.8,alto
4,194.0,4,,B,Abril,384.4,alto
1,108.9,5,8.3,B,Octubre,322.8,alto
3,113.7,2,1.9,C,Noviembre,176.7,normal
1,284.6,6,9.1,D,Septiembre,360.3,alto
2,218.5,9,5.4,B,Febrero,313.2,alto
3,127.6,11,3.7,C,Julio,301.9,alto
1,76.1,10,5.1,C,Octubre,257.5,normal
1,,7,,D,Agosto,191.5,normal
1,235.4,2,3.6,C,Julio,207.2,normal
2,102.2,3,1.8,C,Junio,4009.9974758175886,normal
3,288.8,5,1.1,C,Mayo,266.7,normal
6,124.5,10,3.1,C,Octubre,328.2,alto
1,196.3,5,0.7,C,Junio,182.6,normal
5,185.3,3,4.7,C,Mayo,290.7,normal
3,259.7,11,9.2,B,Junio,409.0,alto
6,296.1,6,3.8,B,Julio,359.0,alto
6,,14,1.1,A,Octubre,400.1,alto
3,106.8,4,4.2,A,Septiembre,221.3,normal
6,,5,7.3,C,Agosto,343.9,alto
4,190.2,13,5.0,D,Junio,326.5,alto
6,238.4,8,9.1,D,Agosto,442.3,alto
2,192.4,8,2.7,C,Noviembre,269.2,normal
5,164.7,10,8.7,D,Mayo,359.5,alto
2,220.7,2,8.6,B,Abril,325.6,alto
4,195.5,3,,B,Diciembre,359.9,alto
4,206.6,11,2.7,D,Enero,325.5,alto
6,,2,3.6,C,Junio,235.1,normal
6,211.9,10,,C,Abril,378.5,alto
3,,9,0.2,C,Junio,232.6,normal
4,,12,4.0,C,Marzo,313.8,alto
1,176.1,9,9.4,A,Octubre,348.5,alto
3,62.1,5,0.7,C,Septiembre,163.7,normal
2,102.0,13,11.3,B,Octubre,394.6,alto
7,45.9,5,4.6,B,Abril,276.3,normal
1,140.2,8,9.6,B,Diciembre,318.6,alto
3,83.8,9,1.7,B,Abril,209.7,normal
2,86.3,10,8.1,C,Agosto,312.5,alto
3,121.2,9,,D,Mayo,249.5,normal
2,91.7,13,0.5,B,Mayo,213.0,normal
5,62.4,12,11.7,B,Julio,421.7,alto
3,264.0,11,7.6,B,Agosto,412.0,alto
5,220.2,14,2.7,D,Mayo,317.9,alto
1,87.6,6,4.9,D,Mayo,213.9,normal
7,59.4,13,8.1,B,Agosto,400.1,alto
6,239.6,14,0.7,B,Marzo,390.9,alto
6,,10,9.8,D,Diciembre,486.9,alto
7,,14,6.9,B,Junio,408.8,alto
1,179.2,7,4.1,A,Septiembre,227.8,normal
3,132.3,3,10.6,C,Mayo,317.8,alto
5,66.3,10,11.7,D,Enero,404.6,alto
6,288.3,9,6.1,C,Septiembre,418.9,alto
6,286.8,6,5.2,A,Mayo,396.1,alto
2,266.1,3,10.9,C,Septiembre,359.7,alto
1,119.3,13,1.0,C,Julio,207.1,normal
5,294.6,9,4.8,D,Junio,355.7,alto
2,161.9,7,6.6,C,Abril,292.5,normal
3,,3,10.6,D,Noviembre,394.7,alto
3,115.6,11,11.9,C,Octubre,403.3,alto
7,162.5,7,7.4,D,Febrero,369.3,alto
6,60.8,3,8.6,D,Febrero,333.8,alto
4,30.8,14,,D,Marzo,218.0,normal
6,209.3,5,0.7,D,Febrero,285.7,normal
2,49.2,14,1.7,B,Diciembre,229.9,normal
6,72.0,6,7.7,C,Agosto,319.9,alto
4,284.3,11,7.7,C,Agosto,388.7,alto
7,143.3,10,,D,Febrero,467.9,alto
6,161.7,11,1.4,D,Noviembre,292.3,normal
1,127.9,10,8.1,A,Mayo,319.2,alto
4,188.7,4,9.6,C,Diciembre,347.1,alto
5,83.8,10,8.2,B,Marzo,331.1,alto
7,227.7,5,12.0,D,Marzo,481.2,alto
4,191.0,11,2.8,D,Junio,284.6,normal
2,254.5,8,6.6,C,Octubre,308.5,alto
7,57.0,9,3.9,A,Diciembre,321.7,alto
7,199.6,3,6.1,B,Abril,359.9,alto
2,131.5,12,6.7,C,Enero,321.1,alto
4,92.7,10,10.5,B,Junio,393.1,alto
3,38.5,7,3.5,B,Noviembre,214.3,normal
1,246.9,9,10.1,B,Abril,371.1,alto
7,132.5,14,4.4,D,Noviembre,396.2,alto
2,173.2,5,7.2,C,Mayo,281.5,normal
5,296.1,5,0.5,B,Agosto,330.8,alto
6,216.8,4,0.7,A,Abril,258.8,normal
6,236.7,4,6.7,C,Septiembre,364.8,alto
3,,10,12.0,B,Julio,397.9,alto
2,34.3,12,7.7,C,Mayo,247.4,normal
5,74.6,3,1.6,C,Septiembre,188.3,normal
1,285.9,7,11.8,C,Mayo,382.2,alto
7,211.9,13,2.4,C,Diciembre,396.3,alto
7,256.9,11,7.9,B,Agosto,487.8,alto
4,261.2,9,3.1,B,Noviembre,354.1,alto
7,55.2,8,1.6,D,Noviembre,216.0,normal
1,193.2,10,3.9,C,Junio,259.5,normal
5,88.3,14,11.4,B,Diciembre,465.4,alto
4,275.6,9,8.5,D,Julio,415.0,alto
2,150.7,8,8.8,C,Noviembre,309.5,alto
2,,5,8.6,C,Marzo,309.6,alto
3,126.0,7,1.4,A,Julio,203.0,normal
3,261.4,9,5.3,B,Junio,358.2,alto
4,58.8,7,4.3,B,Octubre,255.4,normal
1,272.0,14,10.4,C,Octubre,438.2,alto
5,179.7,10,9.6,D,Enero,427.1,alto
6,230.0,2,1.9,A,Mayo,292.6,normal
4,143.6,4,1.6,A,Marzo,218.5,normal
4,111.9,7,,D,Junio,230.3,normal
3,138.5,10,2.9,D,Marzo,252.4,normal
6,75.2,10,3.9,d,Marzo,293.0,normal
7,82.9,6,,B,Marzo,291.3,normal
6,209.4,13,10.0,B,Junio,445.8,alto
6,269.7,12,,B,Mayo,526.5,alto
5,111.5,13,11.3,B,Mayo,425.9,alto
6,172.0,14,9.8,C,Enero,438.1,alto
3,54.4,9,8.3,B,Abril,296.9,normal
7,90.7,10,9.9,A,Febrero,465.0,alto
1,148.7,14,4.9,D,Junio,302.0,alto
6,,12,,C,Diciembre,428.1,alto
5,258.9,8,0.2,B,Marzo,292.5,normal
1,118.6,9,9.3,c,Junio,311.7,alto
4,164.9,10,4.2,D,Mayo,296.9,normal
6,240.8,14,6.0,A,Febrero,473.6,alto
2,35.1,7,10.5,B,Agosto,284.1,normal
7,37.7,9,2.0,B,Mayo,324.2,alto
6,87.2,2,7.8,C,Julio,335.3,alto
1,263.9,14,,A,Febrero,418.5,alto
5,75.5,12,,C,Junio,341.3,alto
6,102.2,12,3.0,D,Marzo,325.3,alto
1,38.8,10,2.6,B,Julio,166.7,normal
2,,6,6.3,C,Junio,291.9,normal
1,34.5,11,3.7,C,Marzo,236.2,normal
3,179.6,3,7.8,A,Agosto,296.4,normal
4,261.0,9,9.1,a,Junio,415.6,alto
4,205.7,9,1.5,B,Abril,310.2,alto
6,130.2,7,8.1,C,Marzo,338.3,alto
2,59.7,6,8.4,D,Junio,252.7,normal
3,205.0,2,10.2,D,Diciembre,314.3,alto
4,113.0,7,5.9,D,Mayo,305.4,alto
4,298.2,12,8.5,C,Febrero,424.0,alto
5,247.0,13,0.8,C,Julio,321.4,alto
2,138.0,5,,D,Mayo,154.8,normal
6,232.9,12,1.0,A,Septiembre,379.5,alto
7,132.5,5,11.8,A,Febrero,487.9,alto
3,280.8,10,10.7,A,Noviembre,475.7,alto
1,189.5,12,10.1,C,Junio,331.9,alto
2,296.1,11,9.7,B,Septiembre,423.2,alto
7,180.4,9,0.7,B,Octubre,318.8,alto
4,245.6,2,5.7,C,Julio,280.4,normal
2,263.6,10,4.6,B,Enero,349.4,alto
2,94.8,7,6.5,C,Diciembre,240.2,normal
3,,6,11.6,B,Agosto,363.8,alto
7,43.1,11,1.9,C,Febrero,284.4,normal
6,127.6,12,4.3,B,Abril,369.8,alto
4,91.2,4,9.9,B,Julio,328.7,alto
3,122.7,9,11.5,C,Septiembre,386.3,alto
4,272.0,7,9.6,d,Septiembre,380.3,alto
5,265.7,5,11.3,C,Abril,436.8,alto
4,39.6,4,11.5,D,Febrero,312.7,alto
7,67.6,14,3.4,D,Diciembre,337.7,alto
7,234.8,10,4.8,D,Octubre,401.6,alto
2,110.9,12,11.2,D,Febrero,365.0,alto
7,191.5,8,10.5,D,Noviembre,415.8,alto
6,244.8,12,6.8,C,Marzo,450.6,alto
1,141.0,8,2.5,C,Julio,176.6,normal
4,299.3,3,5.1,D,Julio,289.2,normal
1,188.3,2,4.9,B,Febrero,251.9,normal
2,101.7,10,5.2,C,Julio,249.6,normal
7,65.2,12,1.2,A,Noviembre,292.3,normal
3,130.6,12,3.2,B,Abril,302.3,alto
4,62.3,5,10.8,a,Mayo,325.0,alto
6,133.8,6,10.6,B,Diciembre,408.8,alto
6,105.2,7,2.0,A,Octubre,285.5,normal
3,138.4,11,7.5,C,Diciembre,342.3,alto
2,148.2,5,8.1,D,Enero,265.8,normal
7,223.3,6,1.8,C,Junio,347.3,alto
2,221.8,2,6.8,D,Julio,286.9,normal
5,106.2,2,11.1,D,Junio,340.2,alto
5,,5,1.6,D,Septiembre,235.8,normal
3,281.7,4,,C,Abril,263.4,normal
4,147.1,2,6.4,B,Septiembre,278.5,normal
3,,14,10.3,B,Septiembre,362.0,alto
1,44.8,10,8.5,D,Febrero,297.3,normal
4,118.5,7,0.8,C,Diciembre,222.7,normal
5,267.4,9,6.6,D,Agosto,395.1,alto
2,175.3,2,9.0,B,Mayo,295.4,normal
6,172.4,13,8.9,D,Enero,396.0,alto
2,,5,10.2,C,Diciembre,364.8,alto
3,223.0,7,5.7,C,Junio,316.2,alto
4,189.7,4,,D,Noviembre,313.3,alto
1,133.4,5,0.4,D,Octubre,134.8,normal
7,292.8,7,10.9,A,Noviembre,541.8,alto
6,235.1,12,2.2,D,Febrero,349.3,alto
7,,8,6.3,D,Abril,397.4,alto
1,46.1,14,5.8,D,Enero,267.7,normal
5,186.2,9,10.4,B,Febrero,426.9,alto
7,184.2,9,7.0,B,Marzo,412.7,alto
6,,9,7.7,C,Febrero,416.1,alto
1,91.7,7,11.4,D,Septiembre,278.6,normal
2,233.1,2,,D,Agosto,218.1,normal
7,256.3,5,4.3,B,Abril,365.6,alto
4,269.2,13,5.0,C,Septiembre,377.0,alto
1,214.2,11,1.0,B,Marzo,272.9,normal
3,170.8,11,4.4,C,Septiembre,299.2,normal
4,55.7,12,7.3,c,Agosto,347.8,alto
4,206.0,7,3.0,B,Enero,299.0,normal
6,225.7,3,7.9,A,Junio,405.3,alto
4,200.6,7,9.5,D,Octubre,341.1,alto
5,286.1,2,5.8,B,Febrero,360.5,alto
2,128.4,11,1.2,B,Agosto,233.9,normal
5,31.1,14,10.0,C,Junio,379.3,alto
4,213.5,9,7.2,C,Mayo,400.5,alto
5,286.5,4,0.3,B,Abril,291.8,normal
4,168.6,14,11.3,C,Febrero,484.1,alto
5,,7,0.0,C,Febrero,213.8,normal
2,198.2,8,10.2,A,Mayo,367.6,alto
4,,12,3.9,C,Septiembre,342.1,alto
5,182.2,13,6.4,C,Mayo,406.4,alto
3,116.0,7,6.2,D,Enero,283.2,normal
7,68.4,4,6.7,B,Septiembre,323.7,alto
1,151.0,11,7.2,B,Septiembre,303.4,alto
6,288.8,14,10.7,D,Julio,539.3,alto
4,85.3,7,8.1,C,Noviembre,316.8,alto
6,,9,10.0,D,Octubre,468.9,alto
1,266.3,7,9.7,D,Marzo,357.8,alto
2,53.9,10,10.9,C,Abril,309.2,alto
5,197.0,5,1.0,B,Diciembre,288.0,normal
3,63.4,12,9.1,B,Abril,2660.063427579341,alto
5,51.6,7,,A,Febrero,302.6,alto
2,207.5,3,4.8,C,Noviembre,238.1,normal
5,,5,2.1,D,Febrero,200.5,normal
3,173.4,10,6.2,C,Enero,338.8,alto
7,265.2,7,,C,Julio,356.6,alto
1,49.2,2,11.2,D,Diciembre,267.1,normal
4,89.5,6,4.5,C,Noviembre,261.5,normal
1,173.5,13,5.6,D,Marzo,290.7,normal
5,109.2,11,0.2,C,Febrero,276.9,normal
6,217.1,3,8.9,D,Octubre,376.7,alto
2,113.6,5,6.5,C,Marzo,277.4,normal
7,220.3,11,11.5,B,Marzo,522.7,alto
2,163.6,3,5.6,C,Septiembre,252.9,normal
1,210.6,6,5.7,C,Octubre,248.5,normal
7,244.5,13,6.9,D,Febrero,461.6,alto
1,118.0,11,8.4,C,Enero,279.0,normal
1,143.5,12,11.9,C,Diciembre,384.1,alto
2,33.3,12,2.4,D,Marzo,183.1,normal
5,165.3,8,3.5,C,Diciembre,283.2,normal
7,97.2,12,1.2,B,Marzo,306.1,alto
6,222.7,6,5.1,B,Marzo,368.7,alto
1,106.0,6,2.8,C,Abril,177.0,normal
5,292.3,8,2.2,c,Septiembre,320.0,alto
1,142.1,5,11.1,B,Octubre,303.2,alto
4,170.6,3,9.0,C,Julio,324.6,alto
3,193.4,9,0.1,B,Enero,235.9,normal
6,258.0,2,11.5,D,Julio,415.6,alto
6,104.6,9,1.1,C,Agosto,275.6,normal
3,252.0,10,7.9,C,Septiembre,370.6,alto
7,193.8,9,5.0,D,Septiembre,347.9,alto
1,172.7,14,8.3,C,Agosto,347.7,alto
4,61.0,12,10.5,B,Enero,413.2,alto
6,72.4,3,9.0,C,Enero,364.8,alto
6,88.4,11,6.2,C,Abril,333.1,alto
5,134.3,9,11.5,C,Mayo,436.7,alto
6,274.0,4,2.4,C,Febrero,315.6,alto
3,225.2,14,0.9,D,Junio,311.2,alto
1,224.7,11,0.9,C,Diciembre,254.6,normal
4,237.3,11,,D,Noviembre,291.4,normal
5,40.5,11,6.5,D,Junio,2655.0658601352316,normal
7,83.6,8,4.2,C,Mayo,332.6,alto
6,,2,3.6,C,Junio,235.1,normal
2,187.7,10,1.5,B,Septiembre,292.5,normal
7,81.5,8,2.5,C,Febrero,296.6,normal
7,81.1,11,,C,Agosto,378.9,alto
4,207.4,7,0.1,C,Septiembre,249.7,normal
4,82.6,5,2.6,C,Diciembre,181.2,normal
4,130.7,7,8.4,B,Mayo,3373.1411936690124,alto
3,43.0,5,10.6,D,Noviembre,263.0,normal
4,147.0,14,9.0,B,Octubre,399.8,alto
4,231.4,11,10.7,B,Enero,417.4,alto
5,242.1,14,8.7,D,Agosto,481.4,alto
2,43.5,8,0.5,A,Enero,181.6,normal
2,278.7,3,4.4,D,Agosto,266.3,normal
3,278.2,9,7.4,B,Abril,364.5,alto
2,180.6,2,3.1,C,Febrero,195.4,normal
6,233.5,6,0.4,D,Febrero,291.6,normal
1,,3,2.7,D,Septiembre,223.2,normal
2,271.4,7,,C,Enero,263.8,normal
6,232.5,4,5.2,C,Julio,351.7,alto
3,83.8,4,4.5,D,Junio,222.4,normal
3,120.0,12,2.6,C,Noviembre,303.5,alto
7,134.8,6,7.0,C,Julio,373.8,alto
2,198.7,8,0.9,A,Septiembre,249.9,normal
3,50.9,11,11.2,C,Septiembre,336.0,alto
6,144.8,6,4.3,A,Noviembre,327.9,alto
6,38.6,13,6.3,A,Marzo,387.1,alto
3,267.1,7,10.6,C,Marzo,381.0,alto
1,274.7,9,10.0,B,Mayo,388.6,alto
2,229.6,14,5.2,B,Junio,366.4,alto
6,285.8,11,,C,Junio,401.8,alto
4,189.5,5,1.5,B,Enero,2863.7237839645904,normal
3,,8,7.1,A,Agosto,296.9,normal
7,277.9,6,1.0,B,Junio,320.3,alto
3,181.1,10,1.6,B,Mayo,249.9,normal
4,116.1,10,6.9,C,Diciembre,336.7,alto
3,265.9,12,5.7,D,Enero,356.3,alto
1,175.1,5,3.5,D,Octubre,183.8,normal
3,95.0,9,3.9,C,Marzo,271.1,normal
5,173.2,3,,C,Julio,314.2,alto
4,135.1,2,1.6,C,Diciembre,182.2,normal
3,190.6,14,7.4,B,Septiembre,370.3,alto
4,255.5,8,8.6,C,Octubre,433.5,alto
5,47.0,3,8.0,A,Noviembre,332.4,alto
1,179.4,12,,C,Diciembre,353.6,alto
6,156.7,13,9.8,D,Febrero,434.1,alto
1,254.0,3,,C,Julio,311.0,alto
6,221.6,9,5.0,B,Junio,409.4,alto
7,,4,3.0,D,Noviembre,283.7,normal
7,124.5,13,5.8,B,Noviembre,426.2,alto
6,134.3,12,2.7,D,Agosto,311.2,alto
1,105.8,4,5.9,C,Enero,214.3,normal
1,218.4,3,11.5,C,Agosto,365.6,alto
4,210.3,8,10.9,C,Abril,396.1,alto
3,187.2,12,9.8,B,Febrero,3319.648219678145,alto
3,269.7,12,4.6,C,Julio,354.1,alto
7,124.2,2,9.8,D,Enero,359.6,alto
4,96.3,8,10.1,D,Agosto,340.8,alto
2,,12,0.0,C,Abril,191.1,normal
4,176.7,10,0.7,C,Marzo,259.3,normal
6,111.6,6,,D,Febrero,290.2,normal
7,224.7,6,11.1,C,Enero,3694.185919558894,alto
4,291.5,2,2.9,C,Noviembre,217.7,normal
5,38.9,10,10.1,D,Junio,338.7,alto
6,94.4,14,1.2,C,Marzo,318.1,alto
2,208.7,12,3.8,C,Agosto,309.7,alto
2,121.8,10,1.2,B,Septiembre,219.0,normal
2,121.1,10,,C,Diciembre,331.9,alto
6,71.0,6,11.6,C,Abril,383.2,alto
3,,3,11.6,D,Septiembre,378.5,alto
7,165.7,5,5.9,C,Marzo,335.1,alto
5,172.4,4,10.2,A,Abril,417.5,alto
5,222.0,3,5.7,B,Octubre,284.4,normal
1,110.8,4,10.4,A,Noviembre,288.0,normal
3,221.8,12,6.0,C,Junio,364.0,alto
5,127.8,10,1.8,D,Abril,265.2,normal
1,50.9,6,1.3,B,Mayo,118.2,normal
4,228.1,6,11.9,B,Febrero,437.6,alto
3,163.3,8,5.7,D,Diciembre,317.3,alto
5,92.2,2,4.0,C,Marzo,231.0,normal
1,140.4,5,10.8,A,Abril,344.1,alto
3,199.1,4,3.9,D,Noviembre,274.9,normal
4,244.8,9,8.8,D,Mayo,373.1,alto
3,41.1,4,,C,Febrero,249.9,normal
1,155.1,12,7.9,A,Febrero,3989.23135754694,alto
6,274.3,14,8.1,C,Marzo,493.8,alto
5,,2,3.5,D,Julio,259.2,normal
6,88.3,12,,D,Octubre,347.2,alto
1,230.0,2,6.8,B,Noviembre,248.8,normal
6,99.0,8,0.7,B,Enero,195.0,normal
4,101.9,3,8.9,A,Noviembre,324.9,alto
3,149.4,6,0.2,B,Junio,182.0,normal
4,278.6,13,9.2,B,Julio,452.3,alto
4,181.2,14,6.9,C,Febrero,375.7,alto
7,112.0,13,1.0,C,Julio,296.0,normal
6,44.7,6,11.0,B,Diciembre,390.4,alto
2,98.7,11,7.6,B,Junio,302.8,alto
2,256.5,3,5.5,C,Mayo,272.9,normal
5,74.6,10,2.3,C,Marzo,231.8,normal
2,76.8,7,4.2,C,Octubre,239.2,normal
6,209.9,11,5.4,C,Mayo,417.0,alto
4,280.3,9,4.7,B,Junio,399.5,alto
2,33.4,10,3.8,B,Octubre,231.5,normal
4,149.9,10,3.0,C,Junio,286.1,normal
2,134.4,7,2.6,D,Mayo,181.2,normal
7,35.8,2,11.4,A,Febrero,373.3,alto
2,186.4,3,3.1,B,Febrero,3050.9474656065318,normal
2,42.6,12,0.5,C,Febrero,185.5,normal
3,217.6,11,6.8,A,Enero,391.7,alto
5,85.7,5,10.4,B,Septiembre,350.9,alto
5,69.5,11,,D,Julio,358.8,alto
2,166.1,12,7.6,c,Noviembre,324.7,alto
6,212.9,14,3.0,B,Noviembre,400.2,alto
5,232.9,10,6.5,B,Septiembre,415.4,alto
1,219.2,11,3.2,D,Diciembre,259.2,normal
3,292.3,7,11.1,A,Marzo,438.4,alto
3,126.1,11,11.0,B,Mayo,380.9,alto
5,105.6,5,6.3,C,Mayo,291.2,normal
1,,10,7.3,B,Agosto,288.8,normal
7,277.8,10,7.6,C,Noviembre,503.8,alto
7,203.9,11,0.4,A,Octubre,375.5,alto
6,275.8,3,11.4,C,Abril,447.3,alto
2,117.4,11,3.6,C,Marzo,246.6,normal
5,296.2,14,0.1,D,Septiembre,361.3,alto
6,149.4,13,11.1,C,Julio,463.3,alto
4,293.2,10,9.7,C,Abril,473.1,alto
3,261.6,2,0.1,C,Julio,215.5,normal
5,89.4,5,2.5,C,Enero,246.1,normal
6,191.7,9,11.7,C,Marzo,486.0,alto
1,105.3,13,11.1,B,Febrero,351.3,alto
1,154.2,13,10.9,C,Octubre,364.0,alto
1,,3,2.2,B,Agosto,226.5,normal
4,72.8,2,1.2,B,Diciembre,172.6,normal
1,67.7,12,0.1,B,Abril,179.6,normal
