categoria_producto,precio_unitario,unidades_stock,inversion_publicidad,descuento_pct,mes,ventas_mes,rotacion
Deportes,468.78,19,669.91,39.7,Marzo,13542.65,alta
Alimentos,1235.2,294,2399.67,25.6,Septiembre,34730.48,alta
Deportes,,484,4417.01,45.7,Julio,18902.06,alta
Alimentos,166.18,152,3942.26,7.3,Noviembre,8558.69,alta
Ropa,978.96,83,,10.7,Agosto,23111.26,alta
Alimentos,542.17,424,2587.08,44.9,Abril,9717.84,alta
Alimentos,1511.21,211,2215.41,40.5,Diciembre,35983.74,alta
Tecnologia,1447.15,62,1250.94,20.5,Mayo,19604.5,alta
Deportes,1194.65,429,903.63,16.1,Junio,19372.12,alta
Deportes,811.38,424,320.74,46.4,Septiembre,15653.72,alta
Tecnologia,565.47,388,,48.6,Agosto,18750.31,alta
Alimentos,1336.22,345,,38.0,Febrero,8496.74,alta
Alimentos,776.85,253,3191.41,46.3,Enero,8827.6,alta
Hogar,1670.67,433,1682.28,49.1,Diciembre,42861.43,alta
Tecnologia,1825.27,307,4508.02,49.1,Abril,26303.48,alta
Hogar,559.63,238,4378.56,23.1,Octubre,6348.63,alta
Hogar,294.41,285,1547.74,28.7,Febrero,5864.69,alta
Ropa,1965.3,322,3321.55,1.1,Agosto,58172.15,alta
Deportes,48.74,215,876.43,41.9,Junio,1857.36,media
Alimentos,168.61,119,2320.74,36.0,Enero,6879.33,alta
Alimentos,1368.53,38,385.45,15.1,Julio,28039.24,alta
Hogar,860.31,456,3066.29,26.0,Octubre,23663.42,alta
Alimentos,1573.23,160,3190.03,44.8,Mayo,14374.51,alta
Hogar,1618.1,256,1767.2,20.4,Enero,49286.22,alta
Alimentos,644.93,327,1195.1,15.8,Noviembre,3530.39,media
Ropa,1238.94,146,1647.26,28.1,Junio,17829.6,alta
Hogar,1182.44,301,4799.18,13.7,Marzo,34858.73,alta
Hogar,1309.95,208,3977.9,25.2,Febrero,21577.2,alta
Deportes,,182,1498.75,19.7,Agosto,29664.05,alta
Ropa,,109,3805.0,19.1,Diciembre,50663.52,alta
ropa,1210.73,471,660.2,12.0,Noviembre,5297.11,alta
Tecnologia,989.54,470,2225.12,16.5,Junio,21220.52,alta
Tecnologia,583.82,121,,32.9,Agosto,12029.07,alta
Tecnologia,505.41,414,1976.25,31.0,Julio,11219.93,alta
Tecnologia,976.57,12,2119.19,48.6,Mayo,12625.22,alta
Tecnologia,,454,2455.57,17.3,Febrero,22447.2,alta
Ropa,906.3,181,3782.58,33.6,Abril,7543.45,alta
Tecnologia,479.19,119,849.95,44.4,Noviembre,5518.76,alta
Deportes,267.81,368,3994.39,42.3,Mayo,6857.78,alta
Alimentos,524.35,85,2704.19,30.2,Noviembre,8210.58,alta
Hogar,1930.84,75,1150.67,37.9,Diciembre,18569.39,alta
Ropa,826.38,476,2044.93,9.5,Octubre,23815.64,alta
Tecnologia,1720.5,481,4513.67,26.6,Marzo,39685.42,alta
Alimentos,888.5,78,782.1,25.1,Enero,23149.24,alta
Alimentos,1579.41,58,910.51,30.9,Noviembre,47994.76,alta
Deportes,1306.34,22,3180.46,22.3,Octubre,14663.01,alta
Tecnologia,262.75,74,2491.9,29.5,Julio,8528.84,alta
Hogar,929.57,86,1084.91,27.6,Mayo,20956.78,alta
Tecnologia,220.94,68,2005.31,28.8,Diciembre,2092.4,media
Tecnologia,622.03,40,3544.39,31.4,Septiembre,15752.41,alta
Hogar,1295.16,442,4633.76,7.8,Abril,19584.55,alta
Deportes,1943.21,210,3774.96,17.4,Junio,17333.4,alta
Deportes,515.99,350,4998.78,31.2,Junio,17648.59,alta
Deportes,704.67,102,,44.1,Abril,15258.46,alta
Alimentos,1305.4,413,,13.2,Julio,38328.98,alta
Alimentos,1275.02,372,1682.28,8.5,Diciembre,31082.76,alta
Ropa,278.35,127,2473.0,26.3,Junio,7791.15,alta
Ropa,338.06,218,2600.74,47.9,Junio,5798.66,alta
Alimentos,1793.99,472,3209.56,14.7,Mayo,8447.53,alta
Alimentos,1321.34,279,730.88,40.5,Mayo,12920.37,alta
Tecnologia,1250.58,369,4016.21,25.9,Enero,40277.67,alta
Ropa,,453,4024.11,11.5,Mayo,6598.31,alta
Ropa,1404.56,18,2764.03,37.1,Abril,44341.45,alta
Tecnologia,,326,2429.63,0.9,Junio,8486.43,alta
Alimentos,252.26,183,2230.35,46.2,Abril,3632.22,media
Ropa,813.48,74,,1.9,Marzo,13211.94,alta
Deportes,,290,3307.67,19.5,Marzo,36864.05,alta
Hogar,1913.86,49,3538.16,34.5,Octubre,9835.88,alta
Deportes,,340,4347.3,13.7,Octubre,13295.47,alta
Alimentos,214.4,341,1103.81,23.1,Enero,6167.61,alta
Hogar,820.58,225,4117.52,47.5,Abril,22992.06,alta
Hogar,169.93,15,,12.2,Mayo,4326.18,media
Tecnologia,462.66,71,817.3,37.3,Marzo,14131.05,alta
Tecnologia,,157,3614.7,8.7,Febrero,20232.18,alta
Hogar,754.54,86,1587.5,31.9,Diciembre,8043.33,alta
Alimentos,1606.11,402,3708.53,5.4,Mayo,31963.59,alta
Tecnologia,1645.19,494,554.93,12.9,Octubre,156431.52920103812,alta
Tecnologia,313.82,339,2776.68,25.6,Noviembre,8314.79,alta
Hogar,294.87,82,3232.61,21.6,Mayo,10144.67,alta
Ropa,1650.55,84,4059.07,29.0,Julio,46627.34,alta
Alimentos,1299.63,181,509.89,9.3,Noviembre,34467.86,alta
alimentos,1357.38,377,,40.0,Junio,10485.45,alta
Deportes,536.0,6,634.22,28.7,Enero,7517.41,alta
Tecnologia,,485,3763.87,35.0,Diciembre,26155.58,alta
Ropa,54.65,144,3281.11,21.2,Noviembre,2939.37,media
Deportes,792.09,30,3065.69,25.0,Mayo,25584.98,alta
deportes,1790.59,28,,46.9,Febrero,39400.95,alta
Alimentos,98.53,319,4186.54,11.0,Abril,6537.18,alta
Hogar,1614.4,23,2605.29,19.7,Julio,40016.29,alta
Hogar,810.28,310,2235.48,15.9,Febrero,10546.86,alta
Ropa,100.24,132,298.19,39.1,Julio,3008.64,media
Tecnologia,,453,1890.29,21.5,Noviembre,10027.03,alta
Alimentos,1698.21,289,,27.7,Abril,179951.0937616767,alta
Alimentos,542.83,9,1715.48,8.9,Octubre,13857.1,alta
Ropa,708.87,52,3544.41,36.4,Abril,12602.72,alta
Hogar,1843.06,410,3161.22,13.2,Julio,28030.03,alta
Tecnologia,1479.0,86,4587.12,2.9,Enero,48005.77,alta
Hogar,1997.71,356,1215.91,13.2,Febrero,51993.13,alta
Deportes,725.96,243,3189.67,7.8,Octubre,15240.72,alta
Hogar,427.84,154,3485.75,0.7,Julio,8867.24,alta
Hogar,398.82,289,795.66,31.4,Diciembre,1844.57,media
Hogar,665.38,270,3304.6,30.4,Noviembre,22550.95,alta
Ropa,179.66,382,4053.95,42.1,Diciembre,8979.01,alta
Hogar,1387.76,463,4945.71,40.0,Abril,12742.7,alta
Deportes,1637.61,154,870.3,35.7,Agosto,12980.7,alta
Deportes,1779.45,182,2616.71,31.0,Marzo,34273.41,alta
Tecnologia,1860.68,499,2973.82,15.1,Agosto,45770.43,alta
Tecnologia,852.37,172,1917.1,42.0,Agosto,11962.44,alta
Tecnologia,1393.87,286,,34.5,Enero,37468.4,alta
Hogar,1746.32,331,1879.08,47.0,Junio,8006.97,alta
Ropa,1285.77,100,,29.2,Junio,36800.56,alta
Alimentos,359.36,387,3975.79,12.9,Febrero,9052.35,alta
Hogar,,149,3812.05,5.0,Abril,26851.91,alta
Ropa,1935.54,259,1544.45,35.0,Enero,47075.32,alta
Alimentos,,200,4636.4,24.4,Enero,9077.0,alta
Deportes,1086.29,287,3336.33,23.9,Octubre,18632.0,alta
Hogar,1062.41,208,4234.31,39.4,Abril,21030.39,alta
Ropa,598.47,21,2013.75,25.2,Julio,9753.06,alta
Tecnologia,1964.69,72,2186.04,16.0,Octubre,21394.29,alta
Alimentos,172.25,37,3391.9,15.4,Julio,7249.89,alta
Deportes,737.22,118,1297.11,20.5,Julio,22795.73,alta
Tecnologia,,278,2228.1,3.9,Septiembre,29187.02,alta
Ropa,1828.16,155,4516.74,38.2,Septiembre,19578.41,alta
Tecnologia,1168.78,250,4522.79,5.8,Noviembre,11862.16,alta
Hogar,,412,184.42,35.1,Agosto,27773.62,alta
ropa,1081.18,170,4586.54,24.3,Diciembre,18137.88,alta
Ropa,157.81,268,3930.37,16.7,Febrero,7088.87,alta
Hogar,656.8,387,4210.53,21.3,Septiembre,20674.41,alta
Ropa,380.77,94,939.42,7.4,Mayo,9216.6,alta
Tecnologia,1084.86,356,2851.4,9.3,Noviembre,19588.52,alta
Hogar,,187,4206.58,24.8,Enero,6030.78,alta
Deportes,407.51,316,237.02,36.1,Julio,9187.67,alta
Deportes,,92,4940.62,9.6,Marzo,5104.88,alta
Tecnologia,171.16,463,347.14,47.3,Agosto,2890.78,media
Alimentos,1438.08,24,4789.72,32.5,Enero,31757.67,alta
Tecnologia,712.85,32,4598.58,24.3,Febrero,22763.66,alta
Tecnologia,846.66,402,2728.25,37.8,Noviembre,27336.55,alta
Ropa,1465.35,54,912.26,6.6,Agosto,25538.58,alta
DEPORTES,,362,4504.78,7.5,Abril,18064.45,alta
TECNOLOGIA,1004.11,265,243.12,39.8,Octubre,18061.01,alta
Ropa,768.6,219,4159.21,36.0,Agosto,21886.39,alta
tecnologia,1967.63,58,2755.42,18.1,Julio,152970.33989336836,alta
Hogar,,222,2024.81,21.6,Julio,11812.82,alta
Ropa,,124,738.51,4.9,Julio,20343.22,alta
Alimentos,295.86,226,921.6,13.7,Abril,3358.85,media
Tecnologia,510.37,10,2342.87,28.4,Abril,10406.78,alta
Alimentos,950.6,168,,33.6,Noviembre,17377.11,alta
Ropa,1201.43,390,1298.78,20.3,Marzo,21043.66,alta
Alimentos,1817.42,294,,16.9,Julio,10292.78,alta
Hogar,121.89,169,4954.72,18.6,Diciembre,5669.37,alta
Tecnologia,556.86,218,3120.71,47.1,Julio,12226.33,alta
Ropa,1438.97,363,545.04,7.3,Agosto,31426.68,alta
Alimentos,691.63,222,3579.09,40.5,Marzo,19233.64,alta
Tecnologia,1977.27,114,60.44,13.1,Noviembre,19299.45,alta
ALIMENTOS,909.3,494,2833.21,40.5,Marzo,27091.41,alta
Alimentos,,174,1282.12,8.0,Diciembre,12851.71,alta
Tecnologia,1042.85,382,1425.33,31.4,Marzo,12026.34,alta
Deportes,1859.39,232,3059.09,22.3,Mayo,48105.02,alta
Ropa,617.26,108,,1.1,Octubre,9038.3,alta
Hogar,1328.59,366,2901.01,29.0,Junio,10922.51,alta
Deportes,1562.73,208,,8.5,Abril,36527.04,alta
Tecnologia,1919.21,366,1237.87,9.5,Enero,45890.95,alta
Alimentos,1543.56,496,3826.36,40.8,Mayo,13465.5,alta
Hogar,1249.46,468,,43.6,Enero,22806.96,alta
Alimentos,1869.63,144,3172.44,19.7,Noviembre,18072.16,alta
Deportes,606.38,47,4696.75,0.2,Agosto,15537.96,alta
Deportes,513.14,238,3964.28,30.1,Abril,12218.61,alta
Tecnologia,1030.2,114,1351.46,35.3,Junio,7679.46,alta
Hogar,1386.01,355,4072.24,40.8,Agosto,29069.36,alta
Deportes,,400,3577.17,4.7,Julio,22796.67,alta
Tecnologia,63.25,126,1492.94,32.3,Enero,2233.52,media
Hogar,1453.65,383,2561.27,0.2,Octubre,21406.7,alta
Hogar,1041.55,27,1841.4,9.7,Mayo,31317.37,alta
Alimentos,606.59,238,26.79,41.2,Noviembre,14174.42,alta
Tecnologia,1688.29,248,137.08,4.8,Marzo,18136.48,alta
Hogar,1220.68,105,3018.76,30.5,Diciembre,21531.82,alta
Deportes,262.59,487,1433.97,43.3,Abril,6349.93,alta
alimentos,1153.57,32,2857.89,46.6,Septiembre,5195.7,alta
Alimentos,47.43,14,1368.22,31.7,Junio,1659.88,media
Tecnologia,513.85,147,,20.1,Agosto,6900.45,alta
Alimentos,1052.48,248,3700.29,10.5,Julio,18748.96,alta
Tecnologia,,84,235.56,10.1,Septiembre,15985.33,alta
Alimentos,1049.68,484,2591.67,29.4,Octubre,15410.03,alta
Hogar,1180.64,290,1989.97,15.7,Febrero,7388.08,alta
Tecnologia,1683.47,59,3602.07,9.0,Abril,37821.61,alta
Deportes,1516.51,448,3146.4,16.1,Octubre,38649.52,alta
Ropa,,220,1397.97,7.8,Agosto,38858.33,alta
Hogar,1604.25,463,2382.87,7.6,Febrero,26492.81,alta
Deportes,1451.27,12,1626.01,43.7,Mayo,25363.02,alta
Deportes,211.39,265,,21.6,Diciembre,2171.62,media
ropa,1252.19,451,3321.04,33.2,Abril,21991.88,alta
HOGAR,406.96,65,3503.72,26.8,Noviembre,11435.85,alta
Alimentos,1797.49,489,3908.73,44.3,Febrero,42678.51,alta
Hogar,998.59,89,426.37,49.0,Junio,7397.14,alta
Alimentos,470.75,100,3336.89,1.7,Junio,4260.51,media
Tecnologia,1394.88,344,1819.43,18.0,Enero,28817.96,alta
Tecnologia,996.13,323,3153.2,29.0,Mayo,7598.23,alta
Tecnologia,1290.36,135,3709.72,15.8,Julio,40668.08,alta
tecnologia,357.0,385,4841.77,45.2,Febrero,165247.07925197098,alta
Ropa,723.83,94,,16.3,Agosto,9275.77,alta
Hogar,981.23,151,1680.75,25.6,Febrero,7542.08,alta
Alimentos,1773.53,20,,14.6,Abril,15860.29,alta
Deportes,69.76,171,,26.0,Agosto,2161.06,media
Hogar,1006.92,226,1348.99,43.9,Noviembre,8497.24,alta
Alimentos,1932.3,81,782.39,39.0,Enero,8558.48,alta
Ropa,,187,4560.05,26.5,Diciembre,15836.4,alta
Deportes,,242,1073.02,37.5,Diciembre,5959.43,alta
Alimentos,1971.26,74,2942.51,5.3,Agosto,23925.73,alta
Deportes,737.13,179,3342.51,13.5,Abril,9549.84,alta
Ropa,860.45,488,773.21,4.8,Octubre,20405.09,alta
Tecnologia,1023.51,344,4665.16,43.2,Octubre,29007.32,alta
Alimentos,1603.92,372,132.12,2.9,Noviembre,22334.0,alta
Ropa,642.48,9,2202.27,15.2,Enero,7141.39,alta
Alimentos,891.91,96,1646.62,46.1,Febrero,15530.84,alta
Deportes,967.57,234,878.45,13.7,Octubre,17363.65,alta
Deportes,503.1,70,3940.17,33.0,Junio,9805.8,alta
Ropa,61.81,28,2440.67,16.5,Septiembre,3448.94,media
Ropa,1108.36,302,228.09,44.1,Enero,24037.46,alta
Hogar,1344.05,480,357.72,2.6,Diciembre,24404.32,alta
Ropa,,150,4267.91,30.8,Enero,23287.88,alta
Hogar,767.98,127,1361.67,30.1,Julio,4450.34,media
Alimentos,,351,4600.45,15.2,Febrero,5322.02,alta
Deportes,,166,3189.44,10.6,Octubre,20547.21,alta
Deportes,496.8,471,,1.3,Abril,6471.25,alta
Deportes,1791.74,14,,18.1,Septiembre,7112.91,alta
Hogar,1311.19,484,3051.93,21.3,Julio,19923.12,alta
Hogar,1411.62,257,2724.02,13.7,Octubre,34158.88,alta
Tecnologia,156.82,464,1715.92,27.4,Diciembre,6549.05,alta
Hogar,879.2,420,,3.8,Junio,16958.37,alta
Ropa,1781.33,156,555.03,24.4,Julio,20996.42,alta
Ropa,1299.37,460,,22.3,Septiembre,24274.19,alta
Deportes,1736.08,277,440.9,37.1,Abril,31136.9,alta
Hogar,333.88,378,2995.81,35.9,Febrero,11855.96,alta
Tecnologia,1665.53,213,4952.93,24.0,Diciembre,29986.68,alta
Alimentos,896.19,485,1914.99,20.2,Mayo,9341.46,alta
Alimentos,1023.2,348,2659.55,1.9,Febrero,11534.18,alta
Ropa,1655.76,65,3790.29,11.7,Febrero,12599.87,alta
Tecnologia,1437.88,86,2533.2,4.0,Enero,44305.65,alta
Ropa,831.04,293,2729.93,35.2,Julio,23867.68,alta
Tecnologia,1538.5,148,1916.12,22.4,Diciembre,39351.9,alta
Deportes,1789.83,492,1399.56,34.8,Febrero,44935.1,alta
Deportes,1153.14,183,1155.72,30.4,Mayo,19384.31,alta
Hogar,1202.66,138,31.52,23.3,Julio,15616.48,alta
Hogar,1981.14,65,1871.25,17.4,Marzo,38882.59,alta
Alimentos,818.07,99,,6.7,Julio,24475.08,alta
Tecnologia,145.64,257,799.97,7.4,Diciembre,3889.25,media
Alimentos,1547.7,413,,29.7,Octubre,47417.49,alta
Deportes,858.83,364,,16.6,Septiembre,23908.24,alta
Ropa,1689.71,122,2549.94,13.9,Noviembre,17603.76,alta
Ropa,,111,4450.09,29.0,Diciembre,24862.34,alta
Tecnologia,1687.12,257,,14.8,Abril,7029.97,alta
Tecnologia,572.14,161,4183.66,44.6,Junio,14248.95,alta
Deportes,1555.32,143,,10.4,Septiembre,15429.3,alta
Deportes,368.15,289,,40.1,Septiembre,8337.73,alta
Ropa,1345.93,239,4662.66,31.9,Febrero,18414.35,alta
Deportes,,475,,30.2,Enero,35571.37,alta
Deportes,1384.14,322,2363.87,42.9,Junio,41819.16,alta
Alimentos,575.28,31,2885.54,10.1,Mayo,18197.45,alta
Hogar,1752.02,193,4777.14,8.4,Febrero,10537.13,alta
Alimentos,1951.01,221,4463.07,15.1,Agosto,58096.88,alta
Ropa,86.63,192,174.4,33.8,Enero,100.0,baja
Deportes,,394,,25.8,Diciembre,26295.71,alta
Ropa,1791.13,85,2565.09,19.1,Noviembre,46065.47,alta
Ropa,884.17,134,1053.48,41.6,Marzo,4850.1,media
Deportes,675.29,150,3698.23,45.8,Julio,20600.01,alta
Tecnologia,1836.41,74,3076.96,48.9,Agosto,10637.49,alta
Alimentos,1327.62,43,3692.06,21.6,Febrero,41309.1,alta
HOGAR,1249.43,164,3079.75,10.1,Marzo,31020.47,alta
Deportes,929.52,107,1021.53,25.7,Septiembre,27452.35,alta
Ropa,15.06,78,1016.79,49.2,Octubre,476.65,baja
Ropa,,117,2224.74,44.9,Abril,8092.23,alta
Hogar,405.18,465,4867.34,1.1,Agosto,15676.98,alta
Deportes,,491,4069.13,17.3,Enero,49526.16,alta
Ropa,894.29,80,2965.4,39.3,Noviembre,15757.49,alta
Deportes,751.06,407,4676.39,29.9,Octubre,20870.55,alta
Hogar,1162.42,72,,31.4,Mayo,7633.53,alta
Alimentos,1256.09,282,2604.64,9.9,Junio,13789.14,alta
Deportes,1832.32,447,3393.47,39.5,Julio,39393.79,alta
Tecnologia,1925.49,64,3848.03,5.3,Agosto,39130.09,alta
Ropa,1448.41,333,2557.97,39.6,Diciembre,26347.48,alta
Ropa,1363.76,282,2291.75,39.7,Marzo,5733.82,alta
Tecnologia,591.22,356,276.2,35.6,Marzo,10622.99,alta
Tecnologia,1490.31,129,3416.43,37.3,Julio,40138.48,alta
Alimentos,108.15,426,674.54,43.4,Junio,2011.71,media
Hogar,260.54,211,999.72,34.0,Junio,3550.64,media
Ropa,264.93,192,1107.54,27.4,Noviembre,7577.96,alta
Hogar,303.83,165,543.93,15.6,Noviembre,6949.08,alta
Hogar,1142.55,492,1284.64,43.6,Marzo,19146.61,alta
alimentos,941.81,59,3115.4,10.4,Junio,8659.66,alta
Deportes,254.86,446,3100.28,9.9,Febrero,4660.55,media
Deportes,,373,1423.97,36.8,Septiembre,11893.58,alta
Deportes,756.13,498,2680.07,0.1,Junio,21437.29,alta
DEPORTES,1583.17,323,3813.12,29.9,Agosto,9912.64,alta
Ropa,660.27,393,46.56,2.7,Diciembre,13194.8,alta
Tecnologia,1276.38,478,,31.0,Agosto,31231.01,alta
Alimentos,977.54,380,4851.05,45.4,Julio,7998.97,alta
TECNOLOGIA,1578.73,127,1248.57,34.0,Junio,30860.56,alta
Tecnologia,585.63,206,4508.78,28.5,Octubre,11318.18,alta
Ropa,1508.92,72,4169.58,10.4,Julio,29164.49,alta
Ropa,623.47,13,2123.36,3.8,Diciembre,3692.87,media
Hogar,851.14,136,1530.0,12.6,Septiembre,26773.37,alta
Alimentos,1659.94,335,4572.4,14.6,Octubre,9871.17,alta
Alimentos,1366.04,416,,0.7,Abril,41547.72,alta
Hogar,,422,2868.28,17.1,Diciembre,17381.83,alta
Alimentos,,394,2603.28,38.2,Mayo,50118.62,alta
Alimentos,,429,2958.88,2.2,Agosto,2709.69,media
Hogar,,8,2118.49,18.9,Diciembre,9098.89,alta
Deportes,,22,1582.43,22.2,Octubre,18091.99,alta
Alimentos,510.87,278,1235.41,12.3,Diciembre,5064.8,alta
Ropa,1640.83,408,1062.48,7.8,Enero,12959.94,alta
Ropa,1304.79,396,2800.57,31.8,Febrero,10007.38,alta
Alimentos,631.55,49,3425.65,33.9,Abril,19884.13,alta
Alimentos,1456.99,482,,9.0,Agosto,15976.78,alta
Tecnologia,843.58,206,4460.03,17.4,Octubre,23622.04,alta
Deportes,643.47,74,4913.26,5.9,Julio,15195.86,alta
Alimentos,1001.4,201,2587.85,17.2,Noviembre,5755.7,alta
Tecnologia,1168.49,42,1768.99,40.1,Agosto,4671.12,media
Hogar,1136.27,36,1443.09,13.7,Marzo,11316.49,alta
Hogar,42.89,319,460.53,18.0,Abril,1569.03,media
