edad,ingreso_mensual,num_creditos_anteriores,dias_mora_historico,tiene_deuda_vigente,nivel_educacion,monto_credito_otorgado,riesgo
22,13185.21,5,16.9,1,Tecnico,32054.17,no_moroso
29,4031.92,2,42.2,1,Secundaria,6812.63,moroso
60,2841.85,1,17.8,1,Tecnico,5438.93,no_moroso
19,,7,1.2,1,Tecnico,28413.97,no_moroso
53,1439.7,9,10.8,0,Secundaria,4666.68,no_moroso
48,2920.61,2,7.2,0,Secundaria,7807.74,no_moroso
37,5591.58,1,,1,Posgrado,14081.86,moroso
45,,9,3.6,0,Secundaria,24903.89,no_moroso
44,11285.13,4,21.6,0,Universitario,29053.29,no_moroso
63,9680.91,3,23.6,0,Universitario,24417.33,no_moroso
21,12861.76,9,18.7,1,Secundaria,31469.75,no_moroso
21,10976.36,4,2.2,1,Universitario,27888.53,no_moroso
55,,2,8.3,0,Posgrado,16983.72,no_moroso
62,3687.3,6,26.3,0,Universitario,10483.94,no_moroso
55,11717.74,3,17.1,0,Tecnico,29119.8,no_moroso
32,2344.35,5,7.0,0,Tecnico,6464.33,no_moroso
65,8343.71,4,1.0,0,Secundaria,21986.08,no_moroso
23,3710.62,0,5.4,1,Secundaria,6847.01,no_moroso
67,3607.08,1,19.6,0,Universitario,9817.48,no_moroso
69,,8,2.5,1,Secundaria,12662.37,no_moroso
43,5575.95,0,42.8,1,Tecnico,10038.91,moroso
35,11597.38,0,4.3,1,Universitario,28328.98,no_moroso
37,12394.5,3,4.6,0,Posgrado,34448.08,no_moroso
68,11668.99,0,17.3,1,Universitario,28351.65,no_moroso
51,3127.7,3,54.3,0,Tecnico,6090.76,moroso
41,7000.21,7,18.0,0,Tecnico,18951.95,no_moroso
54,8693.06,2,16.7,1,Universitario,21484.3,no_moroso
45,13681.57,9,1.9,0,Secundaria,35772.55,no_moroso
45,6469.58,9,22.0,0,Secundaria,17285.37,no_moroso
40,8647.14,0,7.2,0,Secundaria,20505.08,no_moroso
25,1255.02,5,6.5,1,Universitario,4303.86,no_moroso
25,8199.88,6,1.0,1,posgrado,23344.07,no_moroso
69,14680.58,0,0.3,0,Universitario,37982.57,no_moroso
60,7450.37,9,8.3,0,Tecnico,20013.8,no_moroso
24,8673.75,1,13.7,0,Secundaria,21203.66,no_moroso
58,6434.05,5,6.7,1,Universitario,15952.95,no_moroso
55,,9,1.7,1,Universitario,38822.89,no_moroso
21,8945.89,4,15.5,1,UNIVERSITARIO,22390.14,no_moroso
67,7308.52,8,10.8,0,Posgrado,22172.55,no_moroso
48,11825.28,8,2.3,0,Tecnico,31895.68,no_moroso
59,3202.09,6,0.2,0,Tecnico,9666.0,no_moroso
28,12995.65,0,29.8,1,Universitario,30585.66,no_moroso
38,,1,,1,Tecnico,15900.25,no_moroso
55,8155.21,0,26.0,1,Secundaria,17530.67,no_moroso
47,1833.22,3,6.5,1,Tecnico,3564.61,no_moroso
54,5602.25,2,22.4,1,Universitario,13554.28,no_moroso
69,7513.0,9,16.9,0,Secundaria,19713.32,no_moroso
57,12233.86,2,,1,Tecnico,30072.09,no_moroso
20,13371.23,0,13.6,1,Posgrado,33725.81,no_moroso
62,9557.95,3,0.3,0,Universitario,25434.06,no_moroso
69,3261.5,7,4.4,0,Universitario,10478.67,no_moroso
42,4589.05,8,4.3,1,Posgrado,14491.57,no_moroso
32,7990.75,3,10.4,0,tecnico,19840.17,no_moroso
31,1577.89,1,63.9,1,Posgrado,3014.11,moroso
65,5432.29,9,2.7,0,Secundaria,15197.06,no_moroso
49,2378.91,0,3.3,1,Tecnico,3884.34,no_moroso
31,6965.5,6,4.1,1,Universitario,17893.75,no_moroso
57,6244.57,2,0.6,0,Secundaria,15924.82,no_moroso
51,14359.31,4,34.6,0,Posgrado,37119.47,moroso
18,6964.31,5,30.9,0,Universitario,18237.75,moroso
49,13499.89,4,14.8,1,Posgrado,225831.3451152543,no_moroso
25,9044.19,5,46.6,1,Universitario,21979.97,moroso
49,9883.86,0,1.5,0,Tecnico,24546.11,no_moroso
37,6022.13,5,,1,Universitario,15222.92,no_moroso
19,12667.38,9,8.5,1,Tecnico,32302.38,no_moroso
64,4347.19,7,10.8,0,Posgrado,14970.87,no_moroso
54,,7,8.8,0,Tecnico,21032.6,no_moroso
45,9625.39,3,3.5,0,Universitario,25991.53,no_moroso
47,10111.75,3,9.4,1,Posgrado,27597.63,no_moroso
68,,2,24.9,0,Secundaria,3410.7,no_moroso
33,8186.73,6,11.3,0,Universitario,22287.46,no_moroso
60,13219.68,5,33.5,1,Secundaria,31262.33,moroso
67,10827.84,1,11.9,1,Secundaria,24858.06,no_moroso
21,8576.2,9,13.5,0,Tecnico,22666.73,no_moroso
44,11030.59,2,5.3,0,Universitario,28700.34,no_moroso
37,9701.79,1,7.2,0,Tecnico,24067.1,no_moroso
67,11052.01,3,7.1,1,Tecnico,28046.0,no_moroso
26,3261.94,0,18.8,1,Posgrado,9045.44,no_moroso
38,4024.83,4,14.3,1,tecnico,8953.89,no_moroso
43,13250.5,6,22.5,0,Tecnico,33887.38,no_moroso
47,,0,32.2,0,Tecnico,26228.61,moroso
57,14189.22,1,18.6,0,Tecnico,35594.9,no_moroso
42,10587.05,3,22.4,1,Tecnico,24987.31,no_moroso
36,1175.02,1,5.6,0,Secundaria,3397.83,no_moroso
37,9708.25,7,19.3,1,Posgrado,25741.51,no_moroso
48,8654.42,3,1.6,0,Tecnico,22460.62,no_moroso
68,10185.33,8,6.5,0,Secundaria,26204.5,no_moroso
41,2997.54,0,4.4,1,Universitario,7043.42,no_moroso
21,13064.68,0,46.3,0,Universitario,255696.0292497503,moroso
58,,0,4.3,1,Universitario,27051.74,no_moroso
38,3889.94,3,19.8,1,Universitario,8053.28,no_moroso
66,,0,15.1,0,Universitario,15525.09,no_moroso
50,6289.05,3,10.8,0,Secundaria,15953.36,no_moroso
31,7503.2,2,5.8,1,Universitario,18510.4,no_moroso
67,9835.68,4,2.6,1,tecnico,24315.4,no_moroso
41,14173.7,0,8.0,0,posgrado,38237.64,no_moroso
36,14527.44,3,7.6,0,Posgrado,39631.37,no_moroso
35,5487.02,4,18.5,0,Secundaria,13471.02,no_moroso
19,11387.75,5,12.2,0,Tecnico,29454.55,no_moroso
19,8228.97,4,3.2,1,Universitario,21086.97,no_moroso
32,1326.38,8,5.1,1,Universitario,4751.07,no_moroso
42,11660.39,2,41.2,0,Secundaria,27772.7,moroso
68,14743.17,8,0.8,0,Posgrado,41742.07,no_moroso
42,6939.5,0,33.2,0,Universitario,17354.48,moroso
49,6952.32,4,7.9,0,Universitario,18609.11,no_moroso
65,4758.14,4,1.6,0,Tecnico,13629.16,no_moroso
52,4601.15,9,,0,universitario,14372.29,no_moroso
39,8076.52,2,14.7,0,Posgrado,22387.04,no_moroso
36,9211.44,7,21.2,0,Universitario,24974.51,no_moroso
32,12779.79,4,24.7,0,Universitario,32792.29,no_moroso
68,1600.5,2,8.2,0,Secundaria,4258.8,no_moroso
48,5135.52,2,14.1,0,Secundaria,11101.19,no_moroso
39,6073.37,7,,0,posgrado,220656.73082471348,no_moroso
54,12848.51,1,5.2,1,Posgrado,33510.5,no_moroso
30,9211.88,5,26.2,0,Tecnico,23102.63,no_moroso
48,4478.34,6,23.7,0,Tecnico,249314.81467879642,no_moroso
62,5831.23,1,33.2,1,Universitario,12360.72,moroso
34,2622.94,4,39.2,0,Secundaria,4567.65,moroso
56,5255.34,2,,0,Tecnico,13288.21,no_moroso
38,4085.11,5,5.7,0,Tecnico,10986.73,no_moroso
63,1025.8,7,1.3,1,Posgrado,5421.29,no_moroso
35,1641.67,0,12.1,1,Secundaria,2146.99,no_moroso
33,5348.16,4,,0,Tecnico,13211.01,no_moroso
68,3867.54,0,26.4,1,Tecnico,7220.71,no_moroso
34,4687.01,5,11.5,0,Universitario,13575.84,no_moroso
31,3139.16,0,0.5,0,Universitario,9427.05,no_moroso
34,,5,2.9,1,Tecnico,36876.8,no_moroso
60,4597.66,7,54.5,1,TECNICO,10029.53,moroso
67,4632.4,3,7.5,0,Secundaria,12201.54,no_moroso
18,11589.05,2,6.8,1,Universitario,28956.24,no_moroso
47,3213.83,7,10.4,0,Tecnico,10180.53,no_moroso
55,6599.11,1,2.8,1,Tecnico,15814.12,no_moroso
54,4636.07,3,1.2,0,Universitario,13424.4,no_moroso
49,5493.91,0,2.4,0,Universitario,15692.72,no_moroso
64,8561.62,4,4.1,0,Universitario,23311.14,no_moroso
44,13575.12,3,,0,Universitario,35060.03,no_moroso
45,7810.6,2,21.2,1,Tecnico,17631.89,no_moroso
64,7688.13,2,42.6,1,Tecnico,15943.96,moroso
45,9761.4,0,42.9,0,Universitario,24085.67,moroso
20,1647.09,2,16.4,0,Tecnico,4214.75,no_moroso
60,5452.57,4,2.5,0,Tecnico,14926.95,no_moroso
49,7476.44,6,,1,Posgrado,21414.21,no_moroso
59,13535.05,4,39.1,1,Posgrado,33331.79,moroso
63,9209.91,4,1.7,0,Secundaria,24037.38,no_moroso
37,13286.44,6,,0,Universitario,34529.41,no_moroso
26,9141.26,8,12.4,0,Universitario,23950.86,no_moroso
51,871.01,4,11.7,1,Posgrado,4142.57,no_moroso
48,1341.18,4,33.5,0,Secundaria,1637.05,moroso
33,6164.22,1,50.3,1,Tecnico,12625.62,moroso
41,,3,6.7,0,Secundaria,17515.14,no_moroso
63,2966.86,1,9.5,0,Tecnico,7433.82,no_moroso
26,9677.73,9,46.5,0,Tecnico,24451.72,moroso
40,9658.09,6,12.3,0,Universitario,26407.87,no_moroso
60,4197.42,1,28.0,0,Universitario,10798.1,no_moroso
21,14688.72,2,4.6,1,Posgrado,39250.09,no_moroso
