ciudad,temperatura_c,humedad_pct,velocidad_viento_kmh,num_vehiculos_zona,nivel_pm25,indice_calidad_aire,nivel_alerta
Piura,12.2,88.6,32.4,44533.0,43.69,239.1,danino
Arequipa,15.5,,12.7,12976.0,99.32,280.1,danino
Cusco,29.6,65.8,38.7,3926.0,30.35,93.1,moderado
Arequipa,12.8,37.2,10.7,4130.0,148.14,330.7,danino
Arequipa,11.8,,26.4,44991.0,57.71,267.0,danino
Arequipa,30.5,67.2,9.8,40594.0,112.71,400.1,danino
Arequipa,19.0,51.3,34.1,9485.0,71.73,182.8,danino
Lima,26.6,,24.9,43645.0,103.12,384.9,danino
Trujillo,27.0,86.4,5.7,31259.0,136.65,395.7,danino
Lima,34.2,88.6,25.8,39466.0,14.34,209.8,danino
Piura,25.0,88.1,14.9,12307.0,99.36,239.6,danino
TRUJILLO,18.6,48.1,9.1,31362.0,16.07,159.0,danino
Piura,14.0,68.6,30.7,49504.0,103.88,367.6,danino
Cusco,33.2,68.4,27.7,35193.0,78.86,270.4,danino
Piura,21.7,36.1,15.1,38225.0,11.57,180.6,danino
Arequipa,34.4,56.0,21.4,241395.0,18.61,200.6,danino
Arequipa,26.4,55.8,19.7,7939.0,90.7,247.1,danino
Lima,22.6,33.5,8.2,16275.0,99.28,308.7,danino
Cusco,21.7,75.7,30.8,12369.0,129.22,271.1,danino
Piura,10.8,73.4,31.3,38651.0,19.12,162.2,danino
Cusco,33.7,32.3,5.5,2345.0,44.18,152.6,danino
Arequipa,34.7,54.2,15.7,37969.0,104.0,389.2,danino
Cusco,31.5,43.7,7.7,6680.0,69.3,204.3,danino
Arequipa,11.7,32.8,36.4,11206.0,34.4,118.8,danino
Cusco,26.5,63.8,21.9,40094.0,,156.0,danino
Arequipa,29.8,50.4,16.8,29749.0,39.74,230.2,danino
Trujillo,23.5,44.5,4.6,20723.0,11.57,144.9,danino
Piura,11.1,40.0,31.4,38084.0,77.65,255.0,danino
Lima,13.6,,11.2,40666.0,116.02,402.5,danino
Lima,11.3,38.9,14.4,44971.0,45.02,288.2,danino
Arequipa,14.7,46.7,13.2,42386.0,82.62,336.3,danino
Cusco,17.7,91.9,9.2,22406.0,14.85,150.5,danino
Piura,15.7,64.2,38.3,46985.0,125.82,368.0,danino
Trujillo,14.0,83.0,4.6,46700.0,122.16,419.8,danino
Lima,26.7,67.2,18.9,8656.0,101.24,282.4,danino
Arequipa,29.1,57.3,7.0,41169.0,88.16,355.2,danino
Piura,28.7,39.2,28.3,27600.0,82.42,262.1,danino
Trujillo,24.5,53.5,12.4,34655.0,8.71,166.4,danino
PIURA,24.5,70.1,20.9,22601.0,14.77,137.1,danino
Piura,24.6,59.2,24.1,37784.0,142.16,409.1,danino
Cusco,30.6,89.2,19.6,16776.0,25.6,144.4,danino
Arequipa,24.8,40.3,34.4,16072.0,60.24,179.2,danino
LIMA,31.9,94.8,37.2,1823.0,148.11,316.1,danino
