id_venta,fecha,ciudad,categoria,producto,precio_unitario,cantidad,metodo_pago,total
V1000000,2025-12-15,Cusco,Alimentos,Café,303.34,2,Yape,606.68
V1000001,2025-03-29,Piura,Moda,Casaca,80.0,3,Efectivo,240.0
V1000002,2025-09-15,Trujillo,Belleza,Crema,114.05,4,Tarjeta,456.2
V1000003,2025-11-10,Piura,Tecnología,Tablet,21.3,3,Yape,63.9
V1000004,2025-07-07,Cusco,Hogar,Olla,261.97,9999,Yape,261.97
V1000005,2025-11-03,Piura,Belleza,Shampoo,41.88,4,Tarjeta,167.52
V1000006,2025-01-14,Arequipa,Alimentos,Aceite,159.26,5,Efectivo,796.3
V1000007,2025-04-02,Trujillo,Alimentos,Atún,308.9,3,Efectivo,926.7
V1000008,2025-02-19,Trujillo,Tecnología,Celular,218.33,2,Plin,436.66
V1000009,2025-07-10,Arequipa,Belleza,Crema,230.38,2,Efectivo,460.76
V1000010,2025-09-27,Trujillo,,Arroz,480.97,5,Plin,2404.85
V1000011,2025-12-04,Piura,Belleza,Maquillaje,184.81,4,Plin,739.24
V1000012,2025-02-10,Piura,Alimentos,Atún,90.98,1,Yape,90.98
V1000013,2025-12-10,Lima,Tecnología,Tablet,153.81,3,Yape,461.43
V1000014,2025-06-12,Cusco,Tecnología,Laptop,306.92,2,Yape,613.84
V1000015,2025-02-10,Trujillo,Hogar,Licuadora,426.52,4,,1706.08
V1000016,2025-02-17,Piura,Tecnología,Audífonos,299.74,3,,899.22
V1000017,2025-08-15,Piura,Tecnología,Audífonos,359.49,1,Tarjeta,359.49
V1000018,2025-09-12,Cusco,Hogar,Aspiradora,358.22,2,Efectivo,716.44
V1000019,2025-06-28,Lima,Alimentos,Café,286.01,4,Efectivo,1144.04
V1000020,2025-08-19,Piura,Belleza,Perfume,380.22,4,Tarjeta,1520.88
V1000021,2025-08-31,Trujillo,Moda,Pantalón,315.93,1,,315.93
V1000022,2025-01-28,Trujillo,Alimentos,Café,214.09,3,Plin,642.27
V1000023,2025-12-14,Lima,Hogar,Licuadora,454.35,1,,454.35
V1000024,2025-05-01,Trujillo,Moda,Camisa,431.76,3,Tarjeta,1295.28
V1000025,2025-08-13,Cusco,Belleza,Crema,175.43,3,Efectivo,526.29
V1000026,2025-06-29,Lima,Tecnología,Celular,486.17,4,Plin,1944.68
V1000027,2025-04-23,Piura,Hogar,Aspiradora,498.89,3,Tarjeta,1496.67
V1000028,2025-05-10,Trujillo,Hogar,Microondas,26.19,1,Tarjeta,26.19
V1000029,2025-05-06,Arequipa,,Camisa,249.83,4,Yape,999.32
V1000030,2025-07-03,Cusco,Moda,Camisa,366.83,5,,1834.15
V1000031,2025-07-17,Cusco,Hogar,Licuadora,54.24,1,Tarjeta,54.24
V1000032,2025-07-06,Piura,Alimentos,Atún,299.54,3,Plin,898.62
V1000033,2025-12-12,Cusco,Moda,Zapatillas,120.98,4,Tarjeta,483.92
V1000034,2025-05-08,Arequipa,Tecnología,Tablet,77.39,4,Tarjeta,309.56
V1000035,2025-05-31,Arequipa,Tecnología,Audífonos,121.99,2,Plin,243.98
V1000036,2025-03-01,Lima,Tecnología,Celular,498.16,4,Tarjeta,1992.64
V1000037,2025-06-09,Cusco,Belleza,Perfume,176.12,3,Yape,528.36
V1000038,2025-06-01,Lima,Moda,Casaca,426.95,1,Plin,426.95
V1000039,2025-04-14,Trujillo,Alimentos,Aceite,14.51,1,Yape,14.51
V1000040,2025-12-15,Arequipa,Tecnología,Tablet,159.63,2,Efectivo,319.26
V1000041,2025-07-27,Piura,Moda,Camisa,96.2,4,Tarjeta,384.8
V1000042,2025-10-31,Trujillo,,Maquillaje,328.32,3,Tarjeta,984.96
V1000043,2025-06-25,Trujillo,Tecnología,Audífonos,190.18,5,Yape,950.9
V1000044,2025-01-27,Arequipa,Moda,Camisa,256.29,4,Yape,1025.16
V1000045,2025-11-13,Cusco,Tecnología,Tablet,21.91,1,Plin,21.91
V1000046,2025-06-21,Trujillo,Tecnología,Celular,477.43,5,Efectivo,2387.15
V1000047,2025-08-21,Piura,Moda,Casaca,172.07,5,,860.35
V1000048,2025-07-07,Lima,Moda,Casaca,154.28,5,Plin,771.4
V1000049,2025-09-13,Cusco,Tecnología,Tablet,192.62,9999,Yape,385.24
